Subdivision,pop,Country,variable,cum_cases,new_cases,filled,new_deaths
Amazonas,379384,Peru,2020-02-26,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-02-27,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-02-28,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-02-29,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-01,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-02,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-03,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-04,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-05,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-06,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-07,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-08,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-09,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-10,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-11,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-12,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-13,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-14,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-15,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-16,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-17,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-18,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-19,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-20,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-21,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-22,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-23,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-24,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-25,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-26,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-27,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-28,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-29,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-30,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-03-31,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-01,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-02,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-03,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-04,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-05,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-06,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-07,0.0,0.0,0.0,0.0
Amazonas,379384,Peru,2020-04-08,11.0,11.0,0.0,0.0
Amazonas,379384,Peru,2020-04-09,10.0,-1.0,0.0,0.0
Amazonas,379384,Peru,2020-04-10,16.0,6.0,0.0,0.0
Amazonas,379384,Peru,2020-04-11,22.0,6.0,0.0,0.0
Amazonas,379384,Peru,2020-04-12,19.0,-3.0,0.0,0.0
Amazonas,379384,Peru,2020-04-13,25.0,6.0,0.0,0.0
Amazonas,379384,Peru,2020-04-14,25.0,0.0,0.0,0.0
